img_id,seq_id,frame_id,cat_id,bbox_area,aspect_ratio,gt_area_px,pred_area_px,iou,sam_score,matched,n_obj
1000000,10,0,3,4661.0,0.7468354430379747,3656,3690,0.9240440020953379,0.9299190640449524,True,3
1000000,10,0,3,1232.0,0.6363636363636364,976,944,0.8768328445747801,0.8914727568626404,True,3
1000000,10,0,3,1025.0,0.6097560975609756,835,806,0.9148191365227538,0.8680644035339355,True,3
1000001,10,1,3,4602.0,0.7564102564102564,3604,3548,0.9282825559449986,0.9322496652603149,True,3
1000001,10,1,3,1334.0,0.6304347826086957,1097,1081,0.8711340206185567,0.896517276763916,True,3
1000001,10,1,3,1161.0,0.627906976744186,978,896,0.8872104733131924,0.9624877572059631,True,3
1000002,10,2,3,4484.0,0.7763157894736842,3495,3597,0.9229934924078091,0.9094129800796509,True,3
1000002,10,2,3,1581.0,0.6078431372549019,1231,1190,0.8452743902439024,0.8935733437538147,True,3
1000002,10,2,3,1421.0,0.5918367346938775,1148,1115,0.932536293766012,0.9216649532318115,True,3
1000003,10,3,3,4350.0,0.7733333333333333,3464,93,0.02684757505773672,0.8207671642303467,True,3
1000003,10,3,3,1782.0,0.6111111111111112,1411,1339,0.8468770987239759,0.9293016195297241,True,3
1000003,10,3,3,1728.0,0.5925925925925926,1407,1300,0.8956582633053222,0.9297780394554138,True,3
1000004,10,4,3,4292.0,0.7837837837837838,3366,3421,0.9199434229137199,0.860532283782959,True,3
1000004,10,4,3,2160.0,0.6,1678,1543,0.888042203985932,0.9416429400444031,True,3
1000004,10,4,3,2135.0,0.5737704918032787,1693,1574,0.9094097019286966,0.9310277104377747,True,3
1000005,10,5,3,4161.0,0.7808219178082192,3353,3520,0.9144846796657382,0.8987789154052734,True,3
1000005,10,5,3,2574.0,0.5909090909090909,1948,1882,0.8710307767464582,0.9245603680610657,True,3
1000005,10,5,3,2691.0,0.5652173913043478,2110,2019,0.9231485794131346,0.9120073318481445,True,3
1000006,10,6,3,4234.0,0.7945205479452054,3328,3368,0.908235964662297,0.908564567565918,True,3
1000006,10,6,3,3024.0,0.5833333333333334,2328,2338,0.9233305853256389,0.9249051809310913,True,3
1000006,10,6,3,3397.0,0.5443037974683544,2674,2609,0.9337481698389458,0.8857294917106628,True,3
1000007,10,7,3,4104.0,0.7916666666666666,3283,3295,0.9166666666666666,0.882265031337738,True,3
